,제목,저자,출판사,출판일,가격,ISBN
0,이것이 C# 이다 (입문자에게 가장 탄탄한 기본기를 다져줄 C# 입문서),박상현,한빛미디어,20210118.0,30600,9791162243770
1,"C# (The Crash Course for Beginners to Learn the Basics of C Programming with Real Examples, Easily and in a Short Time (Step-By-Step Guide))",,Daniel Geron,20210224.0,33390,9781801943543
2,"C# (The Crash Course for Beginners to Learn the Basics of C Programming with Real Examples, Easily and in a Short Time (Step-By-Step Guide))",,Daniel Geron,20210224.0,45090,9781801944069
3,"C# (The Crash Course for Beginners to Learn the Basics of C Programming with Real Examples, Easily and in a Short Time (Step-By-Step Guide))",,Tiger Gain Ltd,20210119.0,38400,9781914306693
4,"C# (The Crash Course for Beginners to Learn the Basics of C Programming with Real Examples, Easily and in a Short Time (Step-By-Step Guide))",,Tiger Gain Ltd,20210112.0,25040,9781914306181
5,C# (Complete Guide for Beginners to Learn and Mastering C#),,Alex Suzzi International Group Ltd,20201106.0,33350,9781914154188
6,C# (New Step by Step Guide to Learn C# in One Week. Including Projects and Exercise to Mastering C#. Beginners User),,Alex Suzzi International Group Ltd,20201103.0,31690,9781914154102
7,C#,이창섭,문운당,20160225.0,24750,9791156921943
8,C# (The Ultimate Intermediate Guide To Learn C# Programming Step By Step),,nelly B.L. International Consulting LTD.,20191205.0,48190,9781647710156
9,레트로의 유니티 게임 프로그래밍 에센스 (C#으로 배우는 입문부터 4가지 게임 제작까지(Unity 2021/2022 호환),이제민,한빛미디어,20220201.0,54000,9791162245149
10,"C# 스타터 (모바일, 게임, 메타버스 개발에 최적화된 프로그래밍 언어의 입문서)",문기준,성안북스,20211110.0,22500,9788970674100
11,C# 교과서 (기초에서 활용까지! 기본기를 탄탄하게 다지는 C# 입문서),박용준,길벗,20200530.0,27000,9791165211615
12,닷넷 정복 (C# 8.0),김상형,소엔,20180501.0,25200,9791196524616
13,獨習C＃ 新版,야마다 요시히로,翔泳社,20171228.0,47270,9784798153827
