,제목,저자,출판사,출판일,가격,ISBN
0,PHP (Sviluppo Web Lato Server),,Draft2Digital,20220329,27360,9798201192518
1,PHP+MySQL 입문 (예제로 배우는 백엔드 프로그래밍),황재호,인포앤북,20220125,24300,9791192038025
2,러닝 PHP (PHP 입문에서 프레임워크를 활용한 실전 프로그래밍까지 | PHP 7 기반),데이비드 스클라,한빛미디어,20170401,0,9788968483486
3,いつのまにか心をひらいてしまう絶妙な聞き方,宇都出雅巳／著,PHP文庫,20121101,0,9784569679105
4,獨習PHP,야마다 요시히로,翔泳社,20100401,42020,9784798121512
5,なぜかモテる男のほめる技術,アダム德永／著,PHP文庫,20111104,0,9784569677378
6,信長と秀吉と家康,池波正太郞,PHP文庫,19920801,0,9784569564883
7,プロフェッショナルの動き方,高橋俊介／著,PHP新書,20120120,0,9784569801872
8,運命の人と出會うスピリチュアル.レッスン 英國流ソウルメイトの探し方,溝口あゆか／著,PHP文庫,20120604,0,9784569678368
9,齋藤一人幸せをよぶ魔法の言葉 言えば言うほどいいことが起こり出す!,舛岡はなゑ／著,PHP文庫,20120604,0,9784569678320
10,上司は仕事を敎えるな!,藤野祐美／著,PHP新書,20120420,0,9784569804286
11,47都道府縣 戰國武將事典,泉秀樹／監修,PHP文庫,20120404,0,9784569678047
12,計算力を鍛える プロフェッショナルの數字を自在に操る技術,齋藤廣達／著,PHP新書,20120620,0,9784569804255
13,遷都に秘められた古代天皇家の謎,關裕二／著,PHP文庫,20120601,0,9784569678375
14,通貨はこれからどうなるのか,浜矩子／著,PHP新書,20120501,0,9784569803500
15,なぜあの人の意見が通るのか,和田秀樹／著,PHP新書,20120420,0,9784569803531
16,超譯カタカナ語事典 すっきりわかる!,造事務所／編著,PHP文庫,20120404,0,9784569678177
17,5000日後の世界 すべてがAIと接續された「ミラ-ワ-ルド」が訪れる,케빈 켈리,PHP硏究所,20211015,11220,9784569850504
18,그누위즈의 PHP & MySQL 웹 프로그래밍 입문 + 활용 (PHP 8.x 반영),윤성훈^정동진^최주호,앤써북,20211120,20700,9791185553887
19,あきらがあけてあげるから,요시타케 신스케,PHP硏究所,20210825,11810,9784569789934
20,海洋の日本古代史,關裕二／著,PHP硏究所,20210419,10820,9784569849140
21,「本物の營業マン」の話をしよう,사사키 쓰네오,PHP硏究所,20210101,10500,9784569796215
22,楊家將(上),기타카타 겐조,PHP硏究所,20210101,8500,9784569666587
23,リンパドレナ-ジュ.ダイエット (毒素を排出してやせる!),야마다 미츠토시,PHP硏究所,20210101,17070,9784569649368
24,塚原卜傳十二番勝負,츠모토 요,PHP硏究所,20210101,9500,9784569674773
25,"我,弁明せず",에가미 고,PHP硏究所,20210101,10500,9784569675510
26,强運CD付,사이토 히토리,PHP硏究所,20210101,19690,9784569797977
27,自分のうけいれ方 競爭社會のメンタルヘル (競爭社會のメンタルヘルス),가토 다이조,PHP硏究所,20210101,7240,9784569668390
28,かんたんストレッチで外反母趾.卷き爪が治る本 (1日5分で痛みが消える!),야마다 미츠토시,PHP硏究所,20210101,15750,9784569709277
29,軒猿の月,히사카 마사시,PHP硏究所,20210101,8750,9784569675541
30,かわいい花の折り紙,山口眞,PHP硏究所,20210101,0,9784569655635
31,PHP 프로그래밍 입문 (PHP Web Programming),황재호,한빛아카데미,20190520,22500,9791156644446
32,넘버원 PHP (기초문법 주무르기),이호진,비제이퍼블릭,20180131,27000,9791186697504
33,世界史の針が卷き戾るとき (「新しい實在論」は世界をどう見ているか),마르쿠스 가브리엘,PHP硏究所,20200215,11340,9784569845944
34,넘버투 PHP (MySQL 맞짱뜨기),이호진,비제이퍼블릭,20180131,25200,9791186697511
35,"いまはダメでも,きっとうまくいく。 愛藏版",가와기타 요시노리,PHP硏究所,20181123,8920,9784569841984
36,うみのごちそうしろくま,시바타 게이코,PHP硏究所,20181113,18380,9784569788173
37,無病法 極少食の威力 102歲を生きた偉大なルネサンス人ルイジ.コルナロの食生活と敎訓,ルイジ.コルナロ／著 中倉玄喜／編譯.解說,PHP硏究所,20120601,13130,9784569805689
38,しょくパンにんじゃ,간다 스미코,PHP硏究所,20181103,17070,9784569788180
39,ぼくがいちばん!すごいでしょ,사토신,PHP硏究所,20180807,17070,9784569788005
40,おしっこちょっぴりもれたろう,요시타케 신스케,PHP硏究所,20180607,11810,9784569787787
41,おべんとうしろくま,시바타 게이코,PHP硏究所,20180323,18380,9784569787510
42,がんばらなくてもうまくいく考え方,이노우에 히로유키,PHP硏究所,20180428,17070,9784569837901
43,交響曲「第九」 歡びよ未來へ! (板東孚虜收容所 奇跡の物語),구스노키 시게노리,PHP硏究所,20180323,18380,9784569787534
44,獨立記念日,하라다 마하,PHP硏究所,20121117,10000,9784569679136
45,なつみはなんにでもなれる,요시타케 신스케,PHP硏究所,20161202,11810,9784569786063
46,おいしそうなしろくま,시바타 게이코,PHP硏究所,20170114,18380,9784569786094
47,りゆうがあります,요시타케 신스케,PHP硏究所,20150307,15140,9784569784601
48,ふまんがあります,요시타케 신스케,PHP硏究所,20150919,15360,9784569785028
49,もっと!考える力を育てるお話366,,PHP硏究所,20130914,30200,9784569783475
50,願いがかなうふしぎな日記,혼다 아리아케,PHP硏究所,20120807,17070,9784569782539
51,夢幻花,"Higashino, Keigo",PHP硏究所,20130501,18900,9784569811543
52,惡ノ娘 綠のヴィ-ゲンリ-ト,惡ノP,PHP硏究所,20110311,15750,9784569794570
53,ぼくのおふろ,스즈키 노리타케,PHP硏究所,20100617,15750,9784569780610
54,齒がぬけた,나카가와 히로타카,PHP硏究所,20020521,12990,9784569683355
55,ピカピカヒ-ロ-せっけんくん,우에타니 부부,PHP硏究所,20171014,17070,9784569787053
56,○△□のくにのおうさま,고스기 사나에,PHP硏究所,20170928,17070,9784569786988
57,おてんとうさまがみてますよ,야마모토 쇼조,PHP硏究所,20170913,17070,9784569786704
58,あま~いしろくま,시바타 게이코,PHP硏究所,20170805,18380,9784569786940
59,東大首席が敎える超速「7回讀み」勉强法,야마구치 마유,PHP硏究所,20170605,8400,9784569766539
60,學校では敎えてくれない日本史の授業書狀の內幕,이자와 모토히코,PHP硏究所,20170303,10240,9784569766737
61,ともだちのひっこし,미야노 사토코,PHP硏究所,20170228,17070,9784569786254
62,くすのきしげのりワ-ルド 4卷セット,구스노키 시게노리,PHP硏究所,20170222,60270,9784569297699
