,제목,저자,출판사,출판일,가격,ISBN
0,혼자 공부하는 SQL (1:1 과외하듯 배우는 데이터베이스 자습서),우재남,한빛미디어,20211101.0,21600,9791162244739
1,MySQL 성능 최적화 (고성능 시스템 구축을 위한 전략과 최적화 기법),실비아 보트로스^제레미 틴리,위키북스,20220922.0,25200,9791158393656
2,친절한 SQL 튜닝 (SQLP 핵심이론 집중 공략),조시형,디비안(주)(DBian),20180601.0,34200,9791196395704
3,SQL 자격검정 실전문제 (국가공인 SQL전문가 국가공인 SQL개발자),한국데이터진흥원,한국데이터산업진흥원,20211015.0,16200,9788988474846
4,이기적 SQL 개발자 이론서+기출문제 (동영상 무료 제공 & SQLD/P 핵심마인드맵),임호진^박종범^임준혁,영진닷컴,20220810.0,21600,9788931465235
5,Real MySQL 8.0 (1권) (개발자와 DBA를 위한 MySQL 실전 가이드),백은빈^이성욱,위키북스,20210908.0,27000,9791158392703
6,Real MySQL 8.0 (2권) (개발자와 DBA를 위한 MySQL 실전 가이드),백은빈^이성욱,위키북스,20210908.0,28800,9791158392727
7,SQL (A Practical Introduction Guide to Learn Sql Programming Language. Learn Coding Faster with Hands-On Project. Crash Course Guide for your Computer Programming),,Jason Crash,20210225.0,45090,9781802121254
8,"Sql (The Ultimate Guide to Programming in SQL for Beginners, with Exercises for Learning SQL Languages and the Coding, Easily and in a Short Time (Step-by-Step Guide))",,Daniel Geron,20210224.0,45090,9781801944045
9,"Sql (The Ultimate Guide to Programming in SQL for Beginners, with Exercises for Learning SQL Languages and the Coding, Easily and in a Short Time (Step-by-Step Guide))",,Daniel Geron,20210224.0,33390,9781801943529
10,SQL (A Practical Introduction Guide to Learn Sql Programming Language. Learn Coding Faster with Hands-On Project. Crash Course Guide for your Computer Programming),,Jason Crash,20210221.0,41740,9781802121155
11,SQL (A Practical Introduction Guide to Learn Sql Programming Language. Learn Coding Faster with Hands-On Project. Crash Course Guide for your Computer Programming),,Jason Crash,20210220.0,30050,9781802121148
12,"Sql (The Ultimate Guide to Programming in SQL for Beginners, with Exercises for Learning SQL Languages and the Coding, Easily and in a Short Time (Step-by-Step Guide))",,Tiger Gain Ltd,20210119.0,41740,9781914306679
13,"Sql (The Ultimate Guide to Programming in SQL for Beginners, with Exercises for Learning SQL Languages and the Coding, Easily and in a Short Time (Step-by-Step Guide))",,Tiger Gain Ltd,20210112.0,25040,9781914306167
