,제목,저자,출판사,출판일,가격,ISBN
0,이것이 자바다 (교육 현장에서 가장 많이 쓰이는 JAVA 프로그래밍의 기본서),신용권^임경균,한빛미디어,20220905.0,32400,9791169210027
1,코딩 개념 잡는 자바 코딩 문제집 (문제를 최대한 많이 풀어라!),안겔 레오나르드,길벗,20220930.0,43200,9791140701452
2,혼자 공부하는 자바 (JAVA 8 & 11 지원/무료 동영상 강의 제공),신용권,한빛미디어,20190610.0,21600,9791162241875
3,이펙티브 자바 3/E (프로그래밍인사이트),조슈아 블로크,인사이트,20181101.0,32400,9788966262281
4,자바 (Seventh Edition),"Horstmann, Cay S.",한티미디어,20140303.0,31500,9788964211830
5,자바시장,박계상,푸른사상,20090930.0,11700,9788956407159
6,자바 정복 (개정판),김상형,시대인,20220506.0,23400,9791138323666
7,헥사고날 아키텍처 설계와 구현 (자바와 쿼커스를 활용한 빠르고 생산성 높은 애플리케이션 구축),다비 비에이라,위키북스,20220929.0,25200,9791158393564
8,자바 ORM 표준 JPA 프로그래밍 (스프링 데이터 예제 프로젝트로 배우는 전자정부 표준 데이터베이스 프레임),김영한,에이콘출판,20150728.0,38700,9788960777330
9,클린 아키텍처 (자바 코드로 구현하는 클린 웹 애플리케이션),톰 홈버그,위키북스,20211126.0,16200,9791158392758
11,Do it! 자료구조와 함께 배우는 알고리즘 입문: 자바 편 (내 손으로 직접 코딩하며 확인한다!),시바타 보요,이지스퍼블리싱,20220425.0,19800,9791163033486
12,"자바 정복 (자바 프로그래밍 토탈 솔루션: JDK11 기준, 람다, 스트림, 모듈화)",김상형,소엔,20181120.0,19800,9791196524609
13,자바의 꿈 (이태복 시집),이태복,시산맥사,20190718.0,8100,9791162430675
14,자바 코딩 인터뷰 완벽 가이드 (자바 프로그래머의 취업을 위한 258가지 코딩 인터뷰 & 테스트),안겔 레오나르드,동양북스,20220805.0,38700,9791157688197
16,자바 웹 개발 워크북 (성장하는 개발자를 만드는 실무형 로드맵),구멍가게 코딩단,프리렉,20220804.0,31500,9788965403340
17,"모두의 자바 (하루 30분, 쉽게 배우는 자바 프로그래밍)",강경미,길벗,20201030.0,16200,9791165213213
18,자바를 부탁해 (그림으로 배우고 실생활 예제로 실습하는),박세홍(홍팍),한빛아카데미,20211029.0,23400,9791156645672
19,퍼펙트 자바 (제2판),강환수^윤석민^이현숙^조진형^김시우,청람,20140910.0,23750,9788959724215
20,자바 퍼즐러 (세상에서 가장 재미있는 자바 책),조슈아 블로크^닐 개프터,한빛미디어,20141204.0,18000,9788968481444
21,손안의 자바 (초보자를 위한 자바 프로그래밍의 핵심 + 알파),김지훈,에이콘출판,20180717.0,27000,9791161751832
22,자바 파워 툴,존 퍼거슨 스마트,지앤선,20111219.0,40500,9788993827347
23,자바 이야기 (현지 IT 강사들이 들려주는 재미있는 자바이야기),박태용,세진북스,20090615.0,36000,9788993848120
24,"자바 웹 개발 (서블릿부터 Spring Data JPA, Rest API)",윤석진,제이펍,20180629.0,24300,9791188621279
25,자바: 입문편,카와바 타게시,혜지원,20140610.0,22500,9788983798220
26,자바라 자바,한기태,정익사,20130311.0,25000,9788935305063
27,이것이 자바다 (신용권의 Java 프로그래밍 정복),신용권,한빛미디어,20150105.0,27000,9788968481475
28,자바의 신 세트,이상민,로드북,20170623.0,27000,9788997924325
29,자바 에브리원 (제2판),Cay Horstmann,ITC,20130909.0,27000,9788963510477
30,자바 성능 튜닝 (자바 성능 향상을 위한 완벽 가이드),스캇 오크스,비제이퍼블릭,20160329.0,30600,9791186697139
31,자바 우체부길,고영훈,HUINE,20180201.0,18000,9791159012631
32,자바 마스터북 (고효율 고품질 시스템 개발을 위한 실무 응용 가이드),타니모토 신,제이펍,20180307.0,25200,9791188621187
33,자바만 잡아도 (기초를 탄탄히 세우는 Java 프로그래밍),김병만,카오스북,20170830.0,26460,9791187486077
35,"자바 8 인 액션 (람다, 스트림, 함수형 프로그래밍으로 새로워진 자바 마스터하기)",앨런 마이크로프트^마리오 푸스코^앨런 마이크로프트,한빛미디어,20150401.0,0,9788968481796
36,자바 스크립트,데이비드 소이어 맥파랜드,지앤선,20101004.0,0,9788993827248
37,자바의 첫걸음,박영호,PCBOOK,20130215.0,0,9788981931445
39,자바와 암호화 (JCA를 이용한 암호화 구현하기),김강우,한빛미디어,20141027.0,12960,9788968486791
40,명품 자바 에센셜 (자바 프로그래밍에 빠져들게 하는 재미있고 쉬운 해설서),황기태,생능출판,20180810.0,25200,9788970509563
41,자바프로그래밍 (Step by Step),권기현^반종오,ITC,20130131.0,18000,9788963510453
42,자바 코딩의 기술 (똑똑하게 코딩하는 법),사이먼 하러,길벗,20200730.0,19800,9791165212315
43,자바 프로그래밍,임좌상,인피니티북스,20210217.0,26100,9791185578774
44,명품 자바 에센셜 (light version),황기태,생능출판,20141125.0,27160,9788970508191
45,자바 트러블슈팅 (scouter를 활용한 시스템 장애 진단 및 해결 노하우),이상민,제이펍,20191227.0,12600,9791188621828
46,자바 프로그래밍,지홍길^신진섭,오성미디어,20080831.0,18000,9788992583329
47,"모던 자바 인 액션 (람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기)",앨런 마이크로프트^마리오 푸스코^앨런 마이크로프트,한빛미디어,20190801.0,30600,9791162242025
48,"자바 데이터 분석 (자바로 배우는 데이터 분석과 빅데이터 처리, 데이터 시각화 방법)",존 R. 허바드,에이콘출판,20190828.0,31500,9791161753355
49,자바 프로그래밍 (JVM 메모리 구조로 이해하는 객체지향),오정임,루비페이퍼,20190201.0,27000,9791186710326
50,[POD] 안드로이드 앱 개발로 배우는 자바 코딩 2 (자바 언어 기초 2),정동근,부크크(bookk),20181109.0,11500,9791127251987
51,[POD] 안드로이드 앱 개발로 배우는 자바 코딩 1 (자바 언어 기초 1),정동근,부크크(bookk),20181026.0,11500,9791127251017
52,자바 프로그래밍,지선수,영민,20090825.0,15000,9788963410272
53,자바 이해와 활용,유응구,명진,20121228.0,20000,9788966510528
54,자바를 잡아버려! (객체지향 언어인 자바의 핵심을 일상적인 언어로 쉽게 풀어쓴),오명훈,엑셈,20170728.0,20700,9791188427000
55,자바 프로그래밍,이충기,생능출판,20170210.0,28800,9788970508979
56,Java 프로그래밍 (자바 이런거였어?),조용준,가메,20180808.0,23850,9788980782987
57,자바 프로그래밍,양재형,21세기사,20170120.0,31500,9788984687103
58,자바 이해와 활용,유응구,명진,20140220.0,19000,9788966511143
59,자바 람다 배우기 (람다에 대해 이해하고 활용하기),토비 웨슨,에이콘출판,20170818.0,10800,9791161750378
60,자바프로그래밍,이우진,글로벌,20200228.0,22500,9788955027907
61,자료구조와 자바,이석호,정익사,20040215.0,25000,9788935303656
62,머신 러닝 인 자바 (자바 기반 머신 러닝),보스티얀 칼루자,에이콘출판,20161129.0,22500,9788960779297
63,자바 8 람다의 힘 (자바 8 람다의 힘),벤컷 수브라마니암,루비페이퍼,20140625.0,21600,9791195149230
64,자바 프로그래밍 (영어 독해하듯 코드를 읽고 그림으로 쉽게 배우는),강희은,한빛미디어,20160428.0,0,9788968488153
65,자바 프로그래밍,원종권,글로벌,20160229.0,0,9788955027112
66,자바프로그래밍,,명진(진영사),20080110.0,17000,9788992626163
67,쉽게 배우는 자바,권오봉,동일출판사,20020830.0,17000,9788938103253
68,자바 프로그래밍,정환익,글로벌,20140130.0,0,9788955026603
69,자바 디자인 패턴 (분산환경에서의 객체지향 프로그램 디자인),김창호,프리렉,20110928.0,25200,9788965400141
70,자바 프로그래밍,김태용,도서출판 홍릉(홍릉과학출판사),20090910.0,26730,9788972837763
73,자바 2 프로그래밍 (원리와 응용 중심으로 풀어 쓴),홍성용,피어슨에듀케이션코리아,20050615.0,25200,9788945006059
