,제목,저자,출판사,출판일,가격,ISBN
0,혼자 공부하는 파이썬 (1:1 과외하듯 배우는 프로그래밍 자습서),윤인성,한빛미디어,20220601.0,19800,9791162245651
1,파이썬 웹 스크레이핑 완벽 가이드 (파이썬 기초문법부터 스트림릿을 이용한 웹 앱 제작과 카카오 API 활용까지),최은석,위키북스,20220927.0,28800,9791158393571
2,"파이썬과 40개의 작품들 (자동화, 크롤링, 이미지처리, 데이터분석, 웹페이지, GUI 프로그램, 게임)",장문철,앤써북,20220228.0,16920,9791185553931
3,CODING BASICS PYTHON (파이썬),김상민^장성식^김일태,렉스미디어닷넷,20220210.0,18000,9788959604210
4,파이썬,홍의경,생능출판,20220309.0,28800,9788970506784
5,파이썬 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),권철민,위키북스,20220421.0,36000,9791158393229
6,밑바닥부터 시작하는 딥러닝 (파이썬으로 익히는 딥러닝 이론과 구현),사이토 고키,한빛미디어,20170103.0,21600,9788968484636
7,파이썬 (제2판),염기원^오지영,북두,20220120.0,16200,9791166750991
8,Do it! 점프 투 파이썬 (이미 200만명이 이 책으로 프로그래밍을 시작했다!),박응용,이지스퍼블리싱,20190620.0,16500,9791163030911
9,파이썬,서정원^김태령,생능출판,20190228.0,29000,9788970509723
10,CPython 파헤치기 (따라 하면서 이해하는 파이썬 내부의 동작 원리),앤서니 쇼^realpython.com 튜토리얼 팀,인사이트,20220923.0,28800,9788966263677
11,파이썬,김영천^류문형^안일열,기한재,20200225.0,22500,9788970187990
12,Do it! 알고리즘 코딩 테스트: 파이썬 편 (코딩 테스트를 처음 준비하는 취준생의 필독서!),김종관,이지스퍼블리싱,20220816.0,28800,9791163033936
13,파이썬 텍스트 마이닝 완벽 가이드 (자연어 처리 기초부터 딥러닝 기반 BERT 모델까지),박상언^강주영^정석찬,위키북스,20220218.0,25200,9791158393007
14,파이썬,천인국,인피니티북스,20170830.0,11880,9791185578330
15,Do it! 쉽게 배우는 파이썬 데이터 분석 (데이터 분석 프로젝트 전 과정 수록!),김영우,이지스퍼블리싱,20220531.0,20700,9791163033493
16,파이썬,염기원,복두출판사,20200820.0,14850,9791159069048
17,파이썬 (비전공자를위한 파이썬 기초 입문서),김명호,에듀웨이,20190525.0,16200,9791186179369
18,파이썬,임정목,현우사,20180305.0,17100,9788980815180
19,파이썬,임정목,현우사,20180305.0,21600,9788980815197
20,파이썬,이정환,도서출판 홍릉(홍릉과학출판사),20190902.0,24750,9791156006978
21,파이썬 (제4판),시바타 아츠시,광문각,20180530.0,20700,9788970938981
22,파이썬,한혁수,생능출판,20160831.0,20700,9788970508658
23,파이썬 (다양한 예제로 알로리즘 쉽게 분석하기),김유진,다본,20190410.0,22500,9791188577255
24,파이썬,Y. Daniel Liang,에피스테메,20180302.0,31500,9788920028892
25,파이썬,Y. Daniel Liang,생능출판,20160205.0,0,9788970508504
26,"안녕, 파이썬",김학인,북랩,20220314.0,16110,9791168361621
27,단단한 파이썬 (더 깔끔하고 관리가 쉬운 파이썬 코드를 위해),패트릭 비아포어,에이콘출판,20220824.0,31500,9791161756677
28,디딤돌 파이썬 (구조적 프로그래밍으로 설명한 파이썬 기초),이찬수,인피니티북스,20220823.0,26100,9791192373058
29,파이썬 3 (프로그래밍을 배우기에 가장 재미있는 언어),박상현,한빛미디어,20160210.0,22500,9788968482359
30,새내기 파이썬,천인국,생능출판,20220630.0,27000,9788970505558
31,파이썬 스타트 (AI로 가는 첫걸음),박희재,인피니티북스,20220628.0,22500,9791192373027
32,파이썬 연습 (개정판),김기용,그린,20220225.0,23400,9788957273357
33,파이썬 훈련소,북마크,부크크(bookk),20220719.0,9300,9791137289482
34,으뜸 파이썬 (프로그래밍을 사랑하는 두 교수가 작정하고 쓴),박동규^강영민,생능출판,20200217.0,28800,9788970503691
35,파이썬 기초 실습,고응남,인피니티북스,20220427.0,22500,9791192373010
36,스타트 파이썬 (예제로 시작하는 파이썬 코딩),황재호,인포앤북,20220222.0,18900,9791192038049
37,"파이썬 프로그래밍 (Step by Step 처음 시작하는, 개정판)",김민규,가메,20220907.0,19800,9788980783120
38,누구나 파이썬 (기초부터 시작하는 코딩과 데이터 분석),전익진,디스커버리미디어,20220110.0,15750,9791188829231
39,클린 파이썬 (효과적인 파이썬 코딩 기법),수닐 카필,에이콘출판,20210416.0,19800,9791161755113
