,제목,저자,출판사,출판일,가격,ISBN
0,Visual Basic (쉽게 배우는 컴퓨터 프로그램),,이한출판사,20130305.0,13000,9788982417887
1,VISUAL BASIC,김진한,글로벌,20080225.0,18000,9788955024371
2,VISUAL BASIC 6 (비주얼베이직 입문자를 위한 GUIDE BOOK),박재흥,다올미디어,20110520.0,18000,9788996629719
3,Visual Basic 6,홍수열,월송,20130225.0,18000,9788997265176
4,알고리즘의 이해 1: VISUAL BASIC 6.0 (Visual Basic 6.0),김득수,21세기사,20110125.0,12600,9788984683815
5,VISUAL BASIC 6.0,박용기,뜰,20110305.0,0,9788996515869
6,핵심 VISUAL BASIC,박태규 외,기한재,19990801.0,0,9788970181356
7,Visual Basic 6.0,구경옥,웅보출판사,20010305.0,20000,9788984620421
8,Visual Basic 6.0,,학문사,,17000,9788946752566
9,VISUAL BASIC 5.0,,삼양출판사,19970831.0,20700,9788985226813
10,Visual Basic 2015,이규건,휴먼싸이언스,20160215.0,22500,9788993712698
11,Visual Basic 2012,이복기,휴먼사이언스,20130228.0,22500,9788993712452
12,VISUAL BASIC 2010 (VISUAL BASIC 2008 포함),김철원,휴먼사이언스,20110302.0,20700,9788993712261
13,Visual Basic 고수열강,김상민,구민사,20170310.0,19000,9788993393194
14,한글 VISUAL BASIC 5.0,조재희,삼양출판사,19970930.0,13500,9788985226806
15,Visual Basic 2010 (비주얼베이직입문자를 위한 Guide Book),비주얼 베이직 연구회,다올미디어,20140901.0,0,9788997587131
16,VISUAL BASIC 6.0 특강,안익수 외,광문각,20040207.0,18000,9788970932972
17,스마트 교육 미디어 개발을 위한 프로그래밍 및 실습 (Visual Basic 기초 및 활용),허균,부경대학교출판부,20160519.0,12350,9788991131996
18,VISUAL BASIC  프로그래밍 (실무 프로그래밍 완벽 대비서),박재흥,북스홀릭,20100712.0,0,9788996378174
19,VISUAL BASIC 4 HOW-TO,,대림,19960430.0,24300,9788972802945
20,Visual Basic 프로그래밍 기초 (프로그래밍 경험이 전혀 없는 초보자를 위한 가이드 북),김대응^문송철^김경수^나원식^강현선,교학사,20150910.0,19800,9788909194402
21,Visual Basic이 보이는 그림책 (국내 최초 그림으로 배우는 Visual Basic 프로그래밍 입문서),"ANK Co., Ltd.",성안당,20170224.0,0,9788931554700
22,VISUAL BASIC 프로젝트 따라하기 (상용 프로그램 개발자들이 공개하는),장중한^이재원,컴스페이스,20060810.0,18000,9788995822609
23,회계실무관리 (Visual Basic과 엑셀매크로를 이용한),이해진,신화전산기획,20140210.0,16200,9788955341591
24,Visual Basic 쉽게 배우기(2013),임정목,현우사,20140220.0,22000,9788980814404
25,Visual Basic 6.0 프로그래밍 완성 (기초에서 활용까지 윈도우 프로그래밍 완벽 가이드),김형수,명진,20121010.0,18000,9788966510436
26,비주얼 베이직(Visual Basic)(2012),서장원,기한재,20170830.0,17820,9788970187808
27,VISUAL BASIC.NET 2008 (예제로 배우는),김성수,가메,20090216.0,0,9788980782208
28,VisualBasic2012/2013入門,,ソフトバンククリエイティブ,20130926.0,36760,9784797374308
29,Visual Basic 6 for Dummies,,For Dummies,19980904.0,54970,9780764503702
30,VISUAL BASIC 2008 PROGRAMING (실전 프로그래밍 완벽 대비서),김상근^박중오,북스홀릭,20100710.0,0,9788994393070
31,게임제작을 위한 Visual Basic 프로그래밍 (게임 제작을 위한),권훈,한국학술정보,20081215.0,9900,9788953404786
