,제목,주소,경도,위도
0,IBK본점, 서울 중구 을지로 79,126.986204,37.5664756
1,YTN점, 서울 중구 세종대로1길 11,126.972534,37.5581839
2,광희동점, 서울 중구 마른내로 165-1,127.006487,37.5646114
3,다동점, 서울 중구 다동길 46,126.982038,37.5679076
4,동국대후문점, 서울 중구 창경궁로 2,126.998678,37.5625392
5,동대문점, 서울 중구 을지로43길 38,127.007744,37.5676927
6,동평화점, 서울 중구 청계천로 318,127.013925,37.5694492
7,만리동고개점, 서울 중구 만리재로 175,126.963391,37.5541719
8,명동역점, 서울 중구 퇴계로 103,126.983194,37.5608530
9,명동중앙점, 서울 중구 명동7길 21,126.983850,37.5646913
10,서소문점, 서울 중구 서소문로11길 8,126.973019,37.5633017
11,서울시청점, 서울 중구 세종대로20길 23,126.978824,37.5671231
12,신당점, 서울 중구 다산로35길 11,127.014795,37.5635386
13,신당중앙점, 서울 중구 퇴계로 455,127.022334,37.5656368
14,약수역점, 서울 중구 동호로 186-13,127.011613,37.5545470
15,오장동점, 서울 중구 마른내로 109-1,127.000115,37.5645935
16,을지로3가점, 서울 중구 수표로 45,126.989656,37.5654398
17,정동점, 서울 중구 정동길 2-1,126.969338,37.5679589
18,중림점, 서울 중구 청파로 464,126.968323,37.5606155
19,청구역점, 서울 중구 다산로 181-2,127.013210,37.5597636
20,충무로3가점, 서울 중구 퇴계로27길 31,126.991230,37.5625478
21,충무로점, 서울 중구 퇴계로 188,126.992532,37.5608090
22,충무아트홀점, 서울 중구 퇴계로 381-1,127.013980,37.5652596
23,충무필동점, 서울 중구 퇴계로 218-5,126.996256,37.5613678
24,충정로역점, 서울 중구 중림로 10,126.965291,37.5581008
25,태평로점, 서울 중구 세종대로11길 26,126.974468,37.5623650
26,퇴계로2길점, 서울 중구 퇴계로2길 1,126.977389,37.5575543
27,한국은행점, 서울 중구 남대문로 29-2,126.978939,37.5614289
28,황학롯데캐슬점, 서울 중구 청계천로 400,127.021407,37.5709618
29,회현SK리더스점, 서울 중구 퇴계로 72,126.980829,37.5591677
30,강남YMCA점, 서울 강남구 논현동,우편번호없음,x좌표없음
31,강남구청역아이티웨딩점, 서울 강남구 학동로 338,127.040124,37.5165371
32,강남논현학동점, 서울 강남구 논현로131길 28,127.028065,37.5140627
33,강남대치점, 서울 강남구 역삼로 415,127.052308,37.5014227
34,강남도산점, 서울 강남구 도산대로37길 20,127.031462,37.5222700
35,강남세곡점, 서울 강남구 헌릉로569길 9,127.100913,37.4667842
36,강남율현점, 서울 강남구 밤고개로21길 8,127.107773,37.4735628
37,강남자곡점, 서울 강남구 자곡로 180,127.102889,37.4736122
38,개포동역점, 서울 강남구 개포로82길 11,127.067428,37.4885219
39,건설회관점, 서울 강남구 언주로 711,127.033553,37.5172599
40,대청역점, 서울 강남구 개포로109길 34,127.077599,37.4942011
