,제목,주소,구,경도,위도
0,가산브이타워, 서울특별시 금천구 가산디지털1로 128,금천구,126.883727,37.4772012
1,가산디지털, 서울특별시 금천구 가산디지털1로 168,금천구,126.882490,37.4798760
2,마리오아울렛, 서울특별시 금천구 벚꽃로 266,금천구,126.885002,37.4784369
3,가산에스케이, 서울특별시 금천구 가산디지털1로 171,금천구,126.880680,37.4807121
4,W-Mall, 서울특별시 금천구 디지털로 188,금천구,126.887683,37.4773042
5,독산역, 서울특별시 금천구 가산디지털1로 16,금천구,126.887981,37.4675827
6,가산현대아울렛, 서울특별시 금천구 디지털로10길 9,금천구,126.889062,37.4775668
7,가산디지털단지역, 서울특별시 금천구 벚꽃로 298,금천구,126.883901,37.4813731
8,가산그레이트, 서울특별시 금천구 디지털로9길 32,금천구,126.887511,37.4794755
9,역삼아레나빌딩, 서울특별시 강남구 언주로 425,강남구,127.042876,37.5010930
10,논현역사거리, 서울특별시 강남구 강남대로 538,강남구,127.022488,37.5102706
11,신사역성일빌딩, 서울특별시 강남구 강남대로 584,강남구,127.020645,37.5139470
12,국기원사거리, 서울특별시 강남구 테헤란로 125,강남구,127.031656,37.4996008
13,대치재경빌딩R, 서울특별시 강남구 남부순환로 2947,강남구,127.062559,37.4945072
14,봉은사역, 서울특별시 강남구 봉은사로 619,강남구,127.062972,37.5149957
15,압구정윤성빌딩, 서울특별시 강남구 논현로 834,강남구,127.028555,37.5228203
16,코엑스별마당, 서울특별시 강남구 영동대로 513,강남구,127.058796,37.5125020
17,삼성역섬유센터R, 서울특별시 강남구 테헤란로 518,강남구,127.060613,37.5074465
18,압구정R, 서울특별시 강남구 언주로 861,강남구,127.033070,37.5273962
19,수서역R, 서울특별시 강남구 광평로 281,강남구,127.102649,37.4879924
20,양재강남빌딩R, 서울특별시 강남구 남부순환로 2621,강남구,127.036671,37.4853546
21,선릉동신빌딩R, 서울특별시 강남구 테헤란로 409,강남구,127.050410,37.5054780
22,봉은사로선정릉, 서울특별시 강남구 봉은사로 446,강남구,127.048412,37.5113173
23,강남오거리, 서울특별시 강남구 봉은사로2길 39,강남구,127.026647,37.5020797
24,스타필드코엑스몰R, 서울특별시 강남구 영동대로 513,강남구,127.058796,37.5125020
25,강남구청정문, 서울특별시 강남구 학동로 419,강남구,127.045939,37.5183370
26,도곡공원, 서울특별시 강남구 도곡로 205,강남구,127.041243,37.4930927
27,강남R, 서울특별시 강남구 강남대로 390,강남구,127.028614,37.4978266
28,대치은마사거리, 서울특별시 강남구 도곡로 457,강남구,127.060199,37.4990224
29,청담영동대로, 서울특별시 강남구 영동대로 720,강남구,127.056496,37.5221979
30,압구정, 서울특별시 강남구 압구정로30길 17,강남구,127.029393,37.5262979
31,신사가로수, 서울특별시 강남구 가로수길 59,강남구,127.022389,37.5218935
32,청담스타R, 서울특별시 강남구 도산대로57길 24,강남구,127.041758,37.5252582
33,강남우성, 서울특별시 강남구 강남대로 328,강남구,127.030692,37.4923390
34,학동사거리, 서울특별시 강남구 도산대로 328,강남구,127.037944,37.5223853
35,대치사거리, 서울특별시 강남구 삼성로 402,강남구,127.058868,37.5033659
36,포스코사거리, 서울특별시 강남구 테헤란로 505,강남구,127.057424,37.5075742
37,을지병원사거리, 서울특별시 강남구 논현로 752,강남구,127.028689,37.5191532
38,신사역, 서울특별시 강남구 도산대로 108,강남구,127.020510,37.5162085
